iter	Passed	Remaining
409	3092	4449
410	3096	4438
411	3101	4426
412	3104	4412
413	3108	4399
414	3111	4385
415	3114	4372
416	3118	4359
417	3121	4346
418	3124	4332
419	3128	4319
420	3132	4307
421	3135	4294
422	3138	4281
423	3141	4268
424	3144	4254
425	3148	4242
426	3151	4229
427	3155	4217
428	3158	4203
429	3161	4191
430	3165	4178
431	3168	4166
432	3171	4153
433	3175	4141
434	3179	4129
435	3182	4116
436	3186	4105
437	3189	4093
438	3193	4081
439	3196	4068
440	3200	4056
441	3204	4045
442	3207	4033
443	3210	4020
444	3214	4008
445	3217	3996
446	3220	3984
447	3223	3971
448	3226	3959
449	3229	3947
450	3233	3936
451	3237	3924
452	3240	3912
453	3243	3900
454	3246	3889
455	3250	3878
456	3254	3866
457	3257	3855
458	3260	3843
459	3264	3831
460	3267	3819
461	3270	3808
462	3273	3796
463	3276	3785
464	3280	3773
465	3283	3762
466	3286	3750
467	3289	3739
468	3292	3728
469	3296	3717
470	3300	3707
471	3304	3696
472	3307	3684
473	3310	3674
474	3313	3662
475	3317	3651
476	3320	3640
477	3324	3630
478	3327	3619
479	3331	3609
480	3334	3598
481	3338	3587
482	3341	3576
483	3344	3565
484	3347	3554
485	3351	3544
486	3354	3533
487	3357	3523
488	3361	3512
489	3364	3501
490	3367	3490
491	3369	3479
492	3373	3469
493	3376	3458
494	3379	3448
495	3383	3437
496	3386	3427
497	3391	3419
498	3396	3409
499	3400	3400
500	3405	3391
501	3408	3381
502	3413	3372
503	3418	3363
504	3422	3354
505	3425	3344
506	3429	3334
507	3432	3324
508	3436	3314
509	3439	3304
510	3442	3294
511	3445	3284
512	3448	3274
513	3451	3263
514	3455	3253
515	3458	3243
516	3461	3233
517	3464	3223
518	3468	3214
519	3470	3203
520	3473	3193
521	3476	3183
522	3480	3173
523	3483	3163
524	3486	3154
525	3489	3144
526	3492	3134
527	3495	3124
528	3498	3114
529	3501	3105
530	3505	3095
531	3508	3086
532	3511	3076
533	3515	3067
534	3518	3057
535	3521	3048
536	3525	3039
537	3528	3030
538	3533	3022
539	3536	3012
540	3540	3003
541	3543	2994
542	3547	2985
543	3550	2975
544	3553	2966
545	3556	2957
546	3560	2948
547	3563	2939
548	3566	2930
549	3570	2920
550	3573	2911
551	3576	2902
552	3579	2893
553	3583	2884
554	3586	2875
555	3589	2866
556	3593	2857
557	3596	2848
558	3599	2839
559	3603	2831
560	3607	2822
561	3611	2814
562	3614	2805
563	3617	2796
564	3620	2787
565	3623	2778
566	3627	2770
567	3631	2761
568	3634	2753
569	3637	2744
570	3640	2735
571	3644	2726
572	3647	2718
573	3650	2709
574	3653	2700
575	3656	2691
576	3659	2683
577	3663	2674
578	3666	2665
579	3669	2657
580	3673	2649
581	3676	2640
582	3680	2632
583	3683	2623
584	3686	2615
585	3689	2606
586	3692	2598
587	3695	2589
588	3699	2581
589	3702	2572
590	3705	2564
591	3709	2556
592	3712	2547
593	3715	2539
594	3718	2531
595	3722	2523
596	3725	2514
597	3729	2506
598	3732	2498
599	3735	2490
600	3738	2482
601	3741	2473
602	3745	2466
603	3748	2457
604	3752	2449
605	3755	2441
606	3758	2433
607	3761	2425
608	3765	2417
609	3768	2409
610	3771	2401
611	3774	2393
612	3778	2385
613	3781	2377
614	3785	2369
615	3788	2361
616	3794	2355
617	3797	2347
618	3800	2339
619	3803	2331
620	3807	2323
621	3810	2315
622	3830	2317
623	3835	2311
624	3841	2305
625	3846	2298
626	3849	2290
627	3854	2283
628	3857	2275
629	3861	2267
630	3863	2259
631	3867	2252
632	3870	2244
633	3874	2236
634	3877	2228
635	3880	2221
636	3883	2213
637	3887	2205
638	3890	2197
639	3894	2190
640	3898	2183
641	3902	2175
642	3905	2168
643	3908	2160
644	3911	2152
645	3914	2145
646	3917	2137
647	3921	2130
648	3925	2122
649	3929	2115
650	3932	2108
651	3935	2100
652	3938	2092
653	3942	2085
654	3945	2078
655	3950	2071
656	3952	2063
657	3956	2056
658	3959	2048
659	3963	2041
660	3966	2034
661	3970	2027
662	3973	2019
663	3976	2012
664	3980	2005
665	3984	1998
666	3987	1990
667	3991	1984
668	3995	1976
669	3998	1969
670	4001	1961
671	4005	1954
672	4008	1947
673	4011	1940
674	4015	1933
675	4018	1926
676	4022	1919
677	4025	1912
678	4029	1904
679	4033	1898
680	4036	1891
681	4041	1884
682	4045	1877
683	4048	1870
684	4051	1863
685	4055	1856
686	4059	1849
687	4064	1843
688	4072	1838
689	4076	1831
690	4079	1824
691	4083	1817
692	4086	1810
693	4090	1803
694	4094	1796
695	4097	1789
696	4101	1782
697	4104	1775
698	4108	1769
699	4111	1762
700	4115	1755
701	4118	1748
702	4121	1741
703	4124	1733
704	4127	1727
705	4130	1720
706	4133	1713
707	4137	1706
708	4143	1700
709	4146	1693
710	4149	1686
711	4156	1681
712	4159	1674
713	4162	1667
714	4166	1660
715	4169	1653
716	4172	1646
717	4175	1640
718	4179	1633
719	4182	1626
720	4185	1619
721	4189	1613
722	4192	1606
723	4196	1599
724	4199	1592
725	4202	1586
726	4205	1579
727	4208	1572
728	4211	1565
729	4215	1559
730	4218	1552
731	4221	1545
732	4225	1539
733	4229	1532
734	4232	1526
735	4235	1519
736	4239	1512
737	4242	1506
738	4246	1499
739	4250	1493
740	4253	1486
741	4256	1479
742	4259	1473
743	4262	1466
744	4265	1460
745	4268	1453
746	4272	1447
747	4276	1440
748	4280	1434
749	4285	1428
750	4288	1421
751	4292	1415
752	4296	1409
753	4299	1402
754	4303	1396
755	4306	1389
756	4310	1383
757	4313	1377
758	4316	1370
759	4319	1364
760	4323	1357
761	4326	1351
762	4329	1344
763	4332	1338
764	4336	1332
765	4339	1325
766	4343	1319
767	4346	1312
768	4349	1306
769	4353	1300
770	4356	1293
771	4359	1287
772	4362	1281
773	4365	1274
774	4369	1268
775	4372	1262
776	4375	1255
777	4378	1249
778	4387	1244
779	4396	1239
780	4402	1234
781	4406	1228
782	4411	1222
783	4414	1216
784	4418	1210
785	4421	1203
786	4425	1197
787	4428	1191
788	4432	1185
789	4435	1179
790	4438	1172
791	4442	1166
792	4445	1160
793	4448	1154
794	4452	1148
795	4455	1141
796	4458	1135
797	4462	1129
798	4467	1123
799	4470	1117
800	4473	1111
801	4477	1105
802	4480	1099
803	4484	1093
804	4487	1086
805	4490	1080
806	4493	1074
807	4496	1068
808	4499	1062
809	4502	1056
810	4505	1050
811	4509	1044
812	4512	1037
813	4515	1031
814	4519	1025
815	4523	1019
816	4526	1013
817	4529	1007
818	4532	1001
819	4536	995
820	4539	989
821	4542	983
822	4545	977
823	4548	971
824	4551	965
825	4555	959
826	4558	953
827	4561	947
828	4564	941
829	4569	935
830	4574	930
831	4582	925
832	4592	920
833	4597	915
834	4606	910
835	4623	907
836	4661	907
837	4670	902
838	4683	898
839	4692	893
840	4698	888
841	4707	883
842	4714	878
843	4724	873
844	4728	867
845	4738	862
846	4747	857
847	4752	851
848	4755	845
849	4760	840
850	4763	834
851	4766	828
852	4770	822
853	4773	816
854	4776	810
855	4779	804
856	4783	798
857	4786	792
858	4790	786
859	4793	780
860	4796	774
861	4800	768
862	4803	762
863	4807	756
864	4810	750
865	4813	744
866	4817	738
867	4820	733
868	4823	727
869	4826	721
870	4830	715
871	4832	709
872	4836	703
873	4839	697
874	4842	691
875	4845	685
876	4849	680
877	4852	674
878	4856	668
879	4859	662
880	4862	656
881	4865	650
882	4868	645
883	4871	639
884	4875	633
885	4878	627
886	4881	621
887	4884	616
888	4888	610
889	4891	604
890	4893	598
891	4897	592
892	4900	587
893	4903	581
894	4906	575
895	4909	569
896	4913	564
897	4916	558
898	4919	552
899	4923	547
900	4926	541
901	4929	535
902	4933	529
903	4936	524
904	4940	518
905	4943	512
906	4946	507
907	4950	501
908	4953	495
909	4956	490
910	4959	484
911	4962	478
912	4966	473
913	4969	467
914	4972	461
915	4975	456
916	4979	450
917	4983	445
918	4986	439
919	4989	433
920	4993	428
921	4996	422
922	4999	417
923	5003	411
924	5007	405
925	5010	400
926	5013	394
927	5016	389
928	5020	383
929	5023	378
930	5026	372
931	5029	366
932	5033	361
933	5041	356
934	5048	350
935	5051	345
936	5054	339
937	5059	334
938	5062	328
939	5065	323
940	5068	317
941	5072	312
942	5075	306
943	5078	301
944	5081	295
945	5084	290
946	5088	284
947	5091	279
948	5094	273
949	5098	268
950	5101	262
951	5104	257
952	5110	252
953	5113	246
954	5116	241
955	5120	235
956	5126	230
957	5129	224
958	5132	219
959	5135	213
960	5138	208
961	5141	203
962	5144	197
963	5148	192
964	5151	186
965	5154	181
966	5157	176
967	5160	170
968	5164	165
969	5167	159
970	5170	154
971	5174	149
972	5177	143
973	5181	138
974	5184	132
975	5187	127
976	5191	122
977	5194	116
978	5197	111
979	5201	106
980	5204	100
981	5207	95
982	5210	90
983	5214	84
984	5217	79
985	5221	74
986	5224	68
987	5228	63
988	5231	58
989	5234	52
990	5237	47
991	5240	42
992	5243	36
993	5246	31
994	5249	26
995	5252	21
996	5256	15
997	5259	10
998	5262	5
999	5265	0
