iter	Logloss
0	0.6331227629
1	0.5845756684
2	0.5360856288
3	0.4919127633
4	0.4538507207
5	0.4053573667
6	0.364599036
7	0.3343613574
8	0.3062164514
9	0.276939917
10	0.252198123
11	0.2329635329
12	0.2138625543
13	0.1961295024
14	0.1760944273
15	0.1619410528
16	0.1482702776
17	0.1357726199
18	0.1241977986
19	0.1158484881
20	0.1066896964
21	0.09841263669
22	0.09103135824
23	0.08377096635
24	0.07681022367
25	0.07017120644
26	0.06500467477
27	0.05945786833
28	0.05526084463
29	0.05115998272
30	0.04751171667
31	0.04406937947
32	0.04139736116
33	0.03834199041
34	0.03549795289
35	0.03294930692
36	0.0305047832
37	0.02862877401
38	0.02660066897
39	0.02499484013
40	0.02318419587
41	0.02184254743
42	0.02043992675
43	0.01916970052
44	0.01803338353
45	0.01675988914
46	0.01571975982
47	0.01491105816
48	0.01402506752
49	0.01330545866
50	0.01259912772
51	0.01191339243
52	0.01131605637
53	0.01067248341
54	0.01015177233
55	0.009666654911
56	0.009162316045
57	0.008733039298
58	0.008336435768
59	0.007972962294
60	0.007624765174
61	0.007267769284
62	0.006961798305
63	0.006750861343
64	0.006407030085
65	0.006055262872
66	0.005824938931
67	0.005679910666
68	0.005415318271
69	0.005202617301
70	0.005013040323
71	0.004824560128
72	0.004612992469
73	0.004467638683
74	0.004308115961
75	0.004145535471
76	0.004066198119
77	0.003923806849
78	0.003811435155
79	0.003704121979
80	0.003587628564
81	0.003530935247
82	0.003445231515
83	0.003325028135
84	0.00323233611
85	0.003175877224
86	0.003099076529
87	0.003006317458
88	0.002909608212
89	0.00282041253
90	0.002775403511
91	0.00268978532
92	0.002644403848
93	0.002589169132
94	0.00253232184
95	0.002486804888
96	0.002433311292
97	0.002377423222
98	0.002306946369
99	0.00225956091
100	0.002186453997
101	0.002122440394
102	0.002082928698
103	0.002028113136
104	0.00198643215
105	0.001932696494
106	0.001899804568
107	0.001857788351
108	0.001822050777
109	0.001784383314
110	0.001748668859
111	0.001696985162
112	0.00165253228
113	0.001626014132
114	0.001582813741
115	0.001548800988
116	0.00152362122
117	0.001499430037
118	0.001475789326
119	0.001440254972
120	0.001417793695
121	0.00138781978
122	0.001359909962
123	0.001337062361
124	0.001312434568
125	0.001288159
126	0.001258519737
127	0.001241072474
128	0.00122081956
129	0.001208346313
130	0.001190542318
131	0.001174855133
132	0.001161904471
133	0.001142122961
134	0.001127570012
135	0.001108621261
136	0.001099980282
137	0.001082136521
138	0.001066982122
139	0.001050361491
140	0.001037146922
141	0.001026355726
142	0.001006725647
143	0.0009996348212
144	0.000987228621
145	0.0009781986578
146	0.0009649040957
147	0.000952718512
148	0.0009418671471
149	0.0009287004352
150	0.0009187552917
151	0.000906966841
152	0.0009069586336
153	0.0008973458311
154	0.0008805598976
155	0.0008695327676
156	0.0008593511709
157	0.0008484717159
158	0.000838573736
159	0.0008285028232
160	0.0008219364022
161	0.0008219235131
162	0.0008112454857
163	0.0008001956988
164	0.0008001929823
165	0.0008001769143
166	0.000791921739
167	0.0007795324158
168	0.0007726086272
169	0.0007642964048
170	0.0007642621881
171	0.0007553568383
172	0.0007553616934
173	0.000745522032
174	0.0007379826902
175	0.0007329452108
176	0.0007259412557
177	0.0007187162795
178	0.0007085868747
179	0.0007085917875
180	0.0007085838114
181	0.0007085838114
182	0.000699861278
183	0.0006998523192
184	0.0006920571615
185	0.0006825862541
186	0.0006825892596
187	0.0006744269664
188	0.0006744136149
189	0.0006672629096
190	0.0006598791033
191	0.0006598727455
